	seen_langs	target_lang	demix_posterior	typological_distance_metric	typological_distance	typological_similarity	approximated_posterior	divergence_metric	divergence	divergence_with_uniform
10	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	phonological	[0.4788 0.3433 0.4788 0.4477 0.5641 0.4278 0.3613 0.5922]	"[0.52120001 0.65670001 0.52120001 0.55230001 0.43590001 0.57220001
 0.63870001 0.40780001]"	"[0.12104041 0.15250813 0.12104041 0.12826289 0.10123084 0.13288435
 0.14832791 0.09470506]"	jensen-shannon	0.4147605587674207	0.4289815459443131
11	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	es_XX	[0.0890236604, 0.1049926369, 0.1302343334, 0.4123717977, 0.0001384126, 0.263107986, 0.0001204825, 1.06962e-05]	featural	[0.6 0.5 0.5 0.5 0.7 0.5 0.5 0.6]	"[0.40000001 0.50000001 0.50000001 0.50000001 0.30000001 0.50000001
 0.50000001 0.40000001]"	"[0.11111111 0.13888889 0.13888889 0.13888889 0.08333333 0.13888889
 0.13888889 0.11111111]"	jensen-shannon	0.4020591040801801	0.4289815459443131
12	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	fy_NL	[0.1557846746, 0.0586400994, 0.0189373692, 0.4752645986, 9.091e-06, 0.2893229954, 0.0001094427, 0.0019317391]	genetic	[0.4286 0.4    0.9375 1.     1.     0.8889 0.8    1.    ]	"[5.7140001e-01 6.0000001e-01 6.2500010e-02 1.0000000e-08 1.0000000e-08
 1.1110001e-01 2.0000001e-01 1.0000000e-08]"	"[3.69838175e-01 3.88349501e-01 4.04530788e-02 6.47249157e-09
 6.47249157e-09 7.19093879e-02 1.29449838e-01 6.47249157e-09]"	jensen-shannon	0.5808457633122783	0.47461674500888645
13	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	fy_NL	[0.1557846746, 0.0586400994, 0.0189373692, 0.4752645986, 9.091e-06, 0.2893229954, 0.0001094427, 0.0019317391]	geographic	[0.  0.  0.  0.6 0.5 0.1 0.2 1. ]	"[1.00000001e+00 1.00000001e+00 1.00000001e+00 4.00000010e-01
 5.00000010e-01 9.00000010e-01 8.00000010e-01 1.00000000e-08]"	"[1.78571428e-01 1.78571428e-01 1.78571428e-01 7.14285722e-02
 8.92857148e-02 1.60714285e-01 1.42857143e-01 1.78571426e-09]"	jensen-shannon	0.4764683188481686	0.47461674500888645
14	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	fy_NL	[0.1557846746, 0.0586400994, 0.0189373692, 0.4752645986, 9.091e-06, 0.2893229954, 0.0001094427, 0.0019317391]	syntactic	[0.52 0.63 0.65 0.7  0.75 0.65 0.63 0.71]	"[0.48000001 0.37000001 0.35000001 0.30000001 0.25000001 0.35000001
 0.37000001 0.29000001]"	"[0.17391304 0.13405797 0.12681159 0.10869565 0.09057971 0.12681159
 0.13405797 0.10507246]"	jensen-shannon	0.4671329745260499	0.47461674500888645
15	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	fy_NL	[0.1557846746, 0.0586400994, 0.0189373692, 0.4752645986, 9.091e-06, 0.2893229954, 0.0001094427, 0.0019317391]	inventory	[0.6153 0.5983 0.6025 0.669  0.6597 0.6552 0.688  0.    ]	"[0.38470001 0.40170001 0.39750001 0.33100001 0.34030001 0.34480001
 0.31200001 1.00000001]"	"[0.10953872 0.11437927 0.11318337 0.09424829 0.09689636 0.09817768
 0.08883827 0.28473804]"	jensen-shannon	0.526302863975448	0.47461674500888645
16	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	fy_NL	[0.1557846746, 0.0586400994, 0.0189373692, 0.4752645986, 9.091e-06, 0.2893229954, 0.0001094427, 0.0019317391]	phonological	"[5.456e-01 5.687e-01 5.456e-01 5.687e-01 6.162e-01 6.410e-01 6.162e-01
 2.000e-04]"	"[0.45440001 0.43130001 0.45440001 0.43130001 0.38380001 0.35900001
 0.38380001 0.99980001]"	"[0.11657858 0.11065216 0.11657858 0.11065216 0.0984658  0.09210324
 0.0984658  0.25650367]"	jensen-shannon	0.5144018404418208	0.47461674500888645
17	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	fy_NL	[0.1557846746, 0.0586400994, 0.0189373692, 0.4752645986, 9.091e-06, 0.2893229954, 0.0001094427, 0.0019317391]	featural	[0.7 0.8 0.8 0.8 0.8 0.8 0.8 0.8]	"[0.30000001 0.20000001 0.20000001 0.20000001 0.20000001 0.20000001
 0.20000001 0.20000001]"	"[0.17647059 0.11764706 0.11764706 0.11764706 0.11764706 0.11764706
 0.11764706 0.11764706]"	jensen-shannon	0.4682775017474909	0.47461674500888645
18	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	genetic	[0.8571 0.9    0.4375 1.     1.     0.3333 0.8    1.    ]	"[1.4290001e-01 1.0000001e-01 5.6250001e-01 1.0000000e-08 1.0000000e-08
 6.6670001e-01 2.0000001e-01 1.0000000e-08]"	"[8.54613977e-02 5.98050387e-02 3.36403315e-01 5.98050327e-09
 5.98050327e-09 3.98720159e-01 1.19610071e-01 5.98050327e-09]"	jensen-shannon	0.605954071189285	0.5276870282723358
19	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	gl_ES	[0.0097335381, 0.1119809166, 0.0152459446, 0.6034145094, 3.16e-08, 0.2585306826, 0.0010939626, 4.081e-07]	geographic	[0.1 0.1 0.  0.6 0.5 0.1 0.3 1. ]	"[9.00000010e-01 9.00000010e-01 1.00000001e+00 4.00000010e-01
 5.00000010e-01 9.00000010e-01 7.00000010e-01 1.00000000e-08]"	"[1.69811320e-01 1.69811320e-01 1.88679244e-01 7.54716989e-02
 9.43396231e-02 1.69811320e-01 1.32075472e-01 1.88679242e-09]"	jensen-shannon	0.5357319710358184	0.5276870282723358
